Id,Date,Tsu,Vol,Location_Name,Latitude,Longitude,Focal_Depth_km,Mag,MMI_Int,Total_Deaths,Total_Injuries,Temp_C,Wind_ms,Precip_mm
us6000iuad,2019-03-01,0,0,PERU:  AREQUIPA,-14.713,-70.155,267,7.0,0,1,2,36.9,7.7,7.1
us7000hk9n,2015-02-28,0,0,PERU:  AREQUIPA:  CAYLLOMA:  CABANACONDE,-15.693,-71.934,10,4.5,3,0,0,13.0,10.8,10.0
us10008dvh,2020-06-07,0,0,PERU:  COAST:  CHIMBOTE,-9.634,-78.591,57,4.5,0,1,0,20.3,14.0,0.0
usb000syxy,2012-01-30,0,0,PERU:  ICA,-14.168,-75.635,43,6.4,0,0,119,28.1,16.0,0.2
us10006du3,2017-08-13,0,0,PERU:  JUNIN,-10.721,-74.566,32,5.8,0,1,2,29.8,9.7,0.2
us70003k8m,2019-05-26,0,0,"PERU:  LA LIBERTAD, CAJAMARCA; ECUADOR",-5.796,-75.298,110,8.0,0,2,30,31.1,7.6,15.6
usc000sxg6,2014-09-28,0,0,PERU:  PARURO PROVINCE,-13.843,-71.695,10,5.1,7,8,6,35.9,10.1,0.5
us7000efd5,2021-07-30,0,0,PERU:  PIURA,-4.934,-80.602,32,6.2,7,0,34,29.8,14.4,0.0
usp000j8h4,2022-10-05,0,0,PERU:  PIURA,-4.912,-80.56,48,5.8,8,1,2,31.1,18.6,0.0
usp000jw7j,2016-12-01,0,0,"PERU:  PUNO, LAMPA",-15.44,-70.93,10,6.2,6,1,17,11.8,14.8,6.9
us2000k80u,2013-02-22,0,0,PERU:  S,-15.748,-71.425,8,5.3,0,0,0,11.3,12.0,15.7
usp000h9wx,2011-10-28,0,0,PERU:  SAN VICENTE DE CANETE,-14.438,-75.966,24,6.9,0,1,103,25.3,17.4,0.0
usb000l6bt,2010-05-06,0,0,PERU:  TACNA,-18.058,-70.547,37,6.2,0,0,11,21.4,14.4,0.1
usb000s60y,2017-08-11,0,0,PERU: AREQUIPA,-16.299,-73.474,41,5.6,0,1,0,2.3,14.2,0.5
usc000mflt,2021-06-23,0,0,PERU: CANETE: MALA,-12.687,-76.721,50,5.8,7,1,20,0.0,0.0,0.0
us70003m17,2022-05-12,0,0,"PERU: LIMA, CALLAO, CHILCA",-12.36,-76.89,55,5.4,7,2,11,22.6,7.2,0.0
us7000ilgs,2022-07-12,0,0,"PERU: MOQUEGUA, AREQUIPA",-16.783,-71.31,10,5.5,7,0,3,10.5,9.9,0.0
us60007kt4,2022-05-26,0,0,PERU: PUNO,-14.863,-70.308,217,7.2,7,0,0,38.7,9.4,0.1
us7000h0af,2018-01-14,5675,0,PERU: YAUCA,-15.982,-74.512,38,7.1,9,2,139,0.0,0.0,0.0
