Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description,Temp_C,Wind_ms,Precip_mm
,2010,4,6,22.0,15.0,1.5,4763.0,,INDONESIA:  SUMATRA,2.383,97.048,31.0,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,4,13,23.0,49.0,38.3,,,CHINA:  QINGHAI PROVINCE:  YUSHU,33.165,96.548,17.0,6.9,,2220.0,4.0,70.0,2.0,12135.0,4.0,500.0,4.0,15000.0,4.0,,,2220.0,4.0,70.0,2.0,12135.0,4.0,500.0,4.0,15000.0,4.0,,,0.4,12.5,2.8
,2010,4,18,20.0,28.0,50.2,,,AFGHANISTAN:  SAMANGAN PROVINCE,35.633,67.658,13.0,5.6,,11.0,1.0,,,70.0,2.0,,4.0,2000.0,4.0,,,11.0,1.0,,,70.0,2.0,,4.0,2000.0,4.0,,,9.4,8.6,6.5
,2010,4,20,0.0,17.0,8.0,,,AUSTRALIA:  KALGOORLIE,-30.794,121.406,0.0,5.2,,,,,,3.0,1.0,,1.0,,,,,,,,,3.0,1.0,,1.0,,,,1.0,34.3,20.5,0.0
,2010,5,1,22.0,36.0,29.3,,,INDIA:  CHAMOLI,30.099,80.026,36.0,4.5,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,13.2,8.2,3.4
,2010,5,6,2.0,42.0,47.9,,,PERU:  TACNA,-18.058,-70.547,37.0,6.2,,,,,,11.0,1.0,,2.0,,,,,,,,,11.0,1.0,,2.0,,,,2.0,21.4,14.4,0.1
,2010,5,9,5.0,59.0,41.6,,,INDONESIA:  N. SUMATRA: SIMEULUE ISLAND,3.748,96.018,38.0,7.2,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,
,2010,5,14,12.0,29.0,22.3,,,ALGERIA:  NORTHERN:  BENI YELLMAN,35.9,4.12,2.0,5.2,,2.0,1.0,,,43.0,1.0,,,,,,,2.0,1.0,,,43.0,1.0,,,,,,,15.1,36.7,9.9
,2010,5,16,5.0,16.0,10.0,,,"PUERTO RICO:  LARES, VEGA BAJA",18.4,-67.07,113.0,5.8,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,29.6,15.5,2.5
,2010,5,29,11.0,46.0,50.3,4822.0,5184.0,"ANATAHAN REGION, N. MARIANA ISLANDS",16.591,145.682,10.0,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,6,12,19.0,26.0,50.4,4902.0,,INDIA:  LITTLE NICOBAR ISLAND,7.881,91.936,35.0,7.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,6,15,4.0,26.0,58.4,,,CALIFORNIA:  OCOTILLO,32.7,-115.921,5.0,5.8,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,39.6,9.1,0.0
,2010,6,16,3.0,16.0,27.5,,,INDONESIA: NEW GUINEA:  IRIAN JAYA: JAPEN,-2.174,136.543,18.0,7.0,6.0,17.0,1.0,,,,,,3.0,2556.0,4.0,,,17.0,1.0,,,,,,3.0,2556.0,4.0,,,29.7,6.1,6.6
,2010,6,18,23.0,9.0,31.0,,,INDIA:  ANDAMAN ISLANDS:  DIGLIPUR,13.197,93.087,20.0,5.9,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,2.0,,,
,2010,6,22,23.0,14.0,10.8,,,INDIA:  TAULI,29.872,80.428,16.0,5.2,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,20.4,7.0,4.6
,2010,6,23,17.0,41.0,41.0,,,"CANADA:  QUEBEC:  VAL-DES-BOIS, GRACEFIELD",45.88,-75.48,22.0,5.2,6.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,22.6,14.0,2.8
,2010,6,30,7.0,22.0,27.6,,,MEXICO:  SAN ANDRES HUAXPALTEPEC,16.396,-97.782,20.0,6.2,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,27.8,5.2,41.6
,2010,7,20,19.0,38.0,9.5,,,IRAN:  FARSINAJ,27.022,53.861,10.0,5.8,,1.0,1.0,,,32.0,1.0,,2.0,,,,3.0,1.0,1.0,,,32.0,1.0,,2.0,,,,3.0,39.3,9.4,0.0
,2010,7,23,22.0,51.0,12.4,,,PHILIPPINES:  CELEBES SEA:  MORO GULF,6.486,123.467,586.0,7.6,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,7,30,13.0,50.0,13.2,,,IRAN:  TORBET-I-HEYDARIYEH,35.217,59.308,24.0,5.4,,,,,,274.0,3.0,,3.0,,,,,,,,,274.0,3.0,,3.0,,,,,29.0,30.6,0.0
,2010,8,10,5.0,23.0,44.9,5222.0,,VANUATU ISLANDS,-17.541,168.069,25.0,7.2,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,8,12,11.0,54.0,15.5,,,"ECUADOR:  MANTA, GUAYAQUIL, LOJA",-1.266,-77.306,207.0,7.1,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,28.6,6.2,0.0
,2010,8,13,21.0,19.0,33.0,5343.0,,"GUAM, NORTHERN MARIANA ISLANDS",12.484,141.476,10.0,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
