Fecha,Tsu,Vol,Location Name,Latitude,Longitude,Focal_Depth_km,Mag,MMI_Int,Total_Deaths,Total_Injuries,Temp_C,Wind_ms,Precip_mm
2010-06-23,0.0,0.0,"CANADA:  QUEBEC:  VAL-DES-BOIS, GRACEFIELD",45.88,-75.48,22.0,5.2,6.0,0.0,0.0,22.6,14.0,2.8
2010-06-30,0.0,0.0,MEXICO:  SAN ANDRES HUAXPALTEPEC,16.396,-97.782,20.0,6.2,0.0,1.0,0.0,27.8,5.2,41.6
2010-07-20,0.0,0.0,IRAN:  FARSINAJ,27.022,53.861,10.0,5.8,0.0,1.0,32.0,39.3,9.4,0.0
2010-07-23,0.0,0.0,PHILIPPINES:  CELEBES SEA:  MORO GULF,6.486,123.467,586.0,7.6,4.0,0.0,0.0,0.0,0.0,0.0
2010-07-30,0.0,0.0,IRAN:  TORBET-I-HEYDARIYEH,35.217,59.308,24.0,5.4,0.0,0.0,274.0,29.0,30.6,0.0
2010-08-10,5222.0,0.0,VANUATU ISLANDS,-17.541,168.069,25.0,7.2,7.0,0.0,0.0,0.0,0.0,0.0
2010-08-12,0.0,0.0,"ECUADOR:  MANTA, GUAYAQUIL, LOJA",-1.266,-77.306,207.0,7.1,0.0,0.0,0.0,28.6,6.2,0.0
2010-08-13,5343.0,0.0,"GUAM, NORTHERN MARIANA ISLANDS",12.484,141.476,10.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-27,0.0,0.0,IRAN:  DAMGHAN-TORUD,35.49,54.47,7.0,5.7,0.0,3.0,200.0,33.6,21.1,0.0
2010-08-29,0.0,0.0,"CHINA:  SICHUAN PROVINCE: NINGANG, ZIAOJIA",27.197,103.005,35.0,4.9,0.0,0.0,14.0,20.6,6.2,0.1
2010-09-03,0.0,0.0,NEW ZEALAND:  CHRISTCHURCH,-43.522,171.83,12.0,7.0,9.0,0.0,2.0,0.7,8.7,3.9
2010-09-06,0.0,0.0,NEW ZEALAND:  SOUTH ISLAND:  CHRISTCHURCH,-43.57,172.388,9.0,5.0,5.0,0.0,0.0,10.8,28.0,1.2
2010-09-06,0.0,0.0,NEW ZEALAND:  NORTH ISLAND:  PORANGAHAU,-40.433,176.818,21.0,5.1,6.0,0.0,0.0,16.8,48.1,2.7
2010-09-07,0.0,0.0,NEW ZEALAND:  SOUTH ISLAND:  CANTERBURY,-43.598,172.69,6.0,5.0,7.0,0.0,0.0,9.6,12.2,10.1
2010-09-10,0.0,0.0,BANGLADESH:  NARAYANGANJ,23.407,90.648,10.0,4.8,5.0,0.0,0.0,31.9,14.1,8.4
2010-09-27,0.0,0.0,IRAN:  SHIRAZ,29.647,51.665,27.0,5.8,0.0,1.0,3.0,35.6,14.8,0.1
2010-10-10,0.0,0.0,"PAKISTAN:  KHANPUR, HARIPUR",33.869,72.887,33.0,5.2,0.0,1.0,15.0,32.2,13.0,0.0
2010-10-25,5342.0,0.0,INDONESIA:  SUMATRA,-3.487,100.082,20.0,7.8,0.0,431.0,0.0,0.0,0.0,0.0
2010-11-03,0.0,0.0,BALKANS NW: SERBIA:  KRALJEVO,43.76,20.673,1.0,5.5,6.0,2.0,100.0,19.7,9.8,0.0
2010-11-06,0.0,0.0,IRAN:  DORUD-RAZAN,33.37,48.94,5.0,4.9,0.0,0.0,104.0,19.2,7.0,0.0
2010-11-12,0.0,0.0,PAKISTAN:  QUETTA,30.178,67.117,27.0,4.7,0.0,0.0,12.0,12.6,9.8,0.0
2010-12-16,0.0,0.0,"ETHIOPIA:  JIMA,  HOSA'INA, SHENK'OLA, WENJELA",7.521,37.839,10.0,5.1,0.0,0.0,0.0,25.5,13.3,0.0
2010-12-19,0.0,0.0,OKLAHOMA:  LUTHER,35.827,-96.772,5.0,3.7,0.0,0.0,0.0,12.4,19.0,0.0
2010-12-20,0.0,0.0,IRAN:  KERMAN,28.412,59.18,12.0,6.5,0.0,7.0,25.0,23.6,11.5,0.0
2010-12-21,5402.0,0.0,JAPAN:  BONIN ISLANDS,26.901,143.698,14.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-25,5403.0,0.0,VANUATU ISLANDS,-19.702,167.947,16.0,7.3,0.0,0.0,4.0,0.0,0.0,0.0
2010-12-25,0.0,0.0,NEW ZEALAND:  CHRISTCHURCH,-43.55,172.647,5.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-05,0.0,0.0,IRAN:  FARS PROVINCE,30.16,51.62,24.0,4.5,0.0,0.0,16.0,15.2,8.9,0.0
2011-01-09,5419.0,0.0,VANUATU ISLANDS,-19.157,168.311,24.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0
