id,mag,place,time,updated,felt,cdi,mmi,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,lon,lat,depth,dist
tx2022xiyw,2.5,"43 km NW of Toyah, Texas",2022-11-29 04:58:47.331,2022-11-29 22:57:20.287,,,,reviewed,0,96,tx,2022xiyw,",tx2022xiyw,",",tx,",",origin,phase-data,",35.0,0.02374414685,0.2,68.0,ml,earthquake,-104.1446752,31.56079363,10.0,16
hv73243787,1.58,"28 km E of Honaunau-Napoopoo, Hawaii",2022-11-29 04:58:10.760,2022-11-29 05:31:25.930,,,,reviewed,0,38,hv,73243787,",hv73243787,",",hv,",",origin,phase-data,",5.0,0.0587,0.05,133.0,md,earthquake,-155.592666666667,19.4718333333333,10.0,16
ak022faso6ks,1.6,"Kenai Peninsula, Alaska",2022-11-29 04:55:43.166,2022-11-29 04:57:14.544,,,,automatic,0,39,ak,022faso6ks,",ak022faso6ks,",",ak,",",origin,phase-data,",1.0,0.0587,0.4,110.0,ml,earthquake,-150.676,60.5195,40.1,16
hv73243757,2.46,"32 km WNW of Volcano, Hawaii",2022-11-29 04:44:05.600,2022-11-29 04:59:54.750,,,,reviewed,0,93,hv,73243757,",hv73243757,",",hv,",",origin,phase-data,",27.0,0.0587,0.15,180.0,md,earthquake,-155.5415,19.5026666666667,10.0,16
hv73243762,1.66,"32 km E of Honaunau-Napoopoo, Hawaii",2022-11-29 04:43:58.520,2022-11-29 05:24:10.340,,,,reviewed,0,42,hv,73243762,",hv73243762,",",hv,",",origin,phase-data,",12.0,0.0587,0.11,150.0,md,earthquake,-155.5605,19.4958333333333,10.0,16
hv73243752,1.53,"31 km ENE of Honaunau-Napoopoo, Hawaii",2022-11-29 04:39:06.780,2022-11-29 05:52:15.230,,,,reviewed,0,36,hv,73243752,",hv73243752,",",hv,",",origin,phase-data,",24.0,0.0587,0.21,121.0,md,earthquake,-155.5715,19.5238333333333,10.0,16
av91723431,-0.21,"Fox Islands, Aleutian Islands, Alaska",2022-11-29 04:36:45.460,2022-11-30 05:13:04.340,,,,reviewed,0,0,av,91723431,",av91723431,",",av,",",origin,phase-data,",9.0,0.0587,0.28,59.0,ml,earthquake,-165.968833333333,54.145,10.0,16
ak022fask224,1.2,"30 km WNW of Nikiski, Alaska",2022-11-29 04:36:18.361,2022-11-29 04:37:45.907,,,,automatic,0,22,ak,022fask224,",ak022fask224,",",ak,",",origin,phase-data,",1.0,0.0587,0.47,110.0,ml,earthquake,-151.7789,60.8251,72.7,16
us7000it6j,4.6,"18 km NNE of Néa Stíra, Greece",2022-11-29 04:32:38.021,2022-11-30 00:15:56.105,1.0,2.7,,reviewed,0,326,us,7000it6j,",us7000it6j,",",us,",",dyfi,origin,phase-data,",95.0,0.154,0.97,53.0,mb,earthquake,24.258,38.342,10.0,16
us7000it6h,4.2,"64 km S of Calama, Chile",2022-11-29 04:32:28.384,2022-11-29 23:20:39.040,,,,reviewed,0,271,us,7000it6h,",us7000it6h,",",us,",",origin,phase-data,",26.0,0.154,0.59,75.0,mb,earthquake,-68.8582,-23.0391,93.778,16
