"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""2010 <= Year >= 2022""]"																																													
	2019	3	20				3	9				0	"JAPAN"	"NAGASAKI, JAPAN"			2.9	2											2												2				
	2019	4	14	23	17		4	9				0	"USA"	"LAKE ERIE"			1.75	2											1												1				
	2019	5	14	12	58	25	2	1	7.6			0	"PAPUA NEW GUINEA"	"RABAUL, NEW BRITAIN"	-4.051	152.597		0																					1		1		1		1
	2019	6	14	0	19	12	4	1	6.4			0	"CHILE"	"CENTRAL CHILE"	-30.056	-72.082	0.07	1																											
	2019	6	15	22	55	2	4	1	7.2			0	"NEW ZEALAND"	"S OF RAOUL ISLAND, KERMADEC ISLANDS"	-30.805	-178.095	0.14	7																											
	2019	6	18	13	22	19	4	1	6.4			0	"JAPAN"	"NIIGATA"	38.646	139.472	0.1	5																				28	1		2			144	3
	2019	8	28				3	6		7424		0	"ITALY"	"STROMBOLI ISLAND"	38.789	15.213	0.3	1																											
	2019	11	14	16	17	40	4	1	7.1			0	"INDONESIA"	"N. MOLUCCAS ISLANDS"	1.6	126.416	0.11	8																1	1			3	1		1			36	1
	2020	1	7	8	24	26	4	1	6.4			0	"USA TERRITORY"	"PUERTO RICO"	17.916	-66.813	0.06	6																4	1				1	800	4	300	3	1390	4
	2020	1	28	19	10	25	4	1	7.7			0	"CUBA"	"OFF SE COAST"	19.44	-78.755	0.11	2																							2	1	1		3
	2020	3	25	2	49	21	4	1	7.5			0	"RUSSIA"	"N. KURIL ISLANDS"	48.986	157.693	0.5	11																											
	2020	4	23				4	9				0	"USA"	"GULF OF MEXICO"			0.5	1																											
	2020	5	2	12	51	6	4	1	6.6			0	"GREECE"	"CRETE"	34.205	25.712	0.95	15																											
	2020	5	29	5	30		0	4		7504		0	"INDONESIA"	"LESSER SUNDA: BALI: IJEN VOLCANO"	-8.058	114.242	3	1																1	1										
	2020	6	13				4	9				0	"USA"	"GULF OF MEXICO"			0.5	1																											
	2020	6	18	12	49	53	4	1	7.4			0	"NEW ZEALAND"	"S OF RAOUL ISLAND, KERMADEC ISLANDS"	-33.294	-177.838	0.11	4																											
	2020	6	23	15	29	5	4	1	7.4			0	"MEXICO"	"OFF OF COAST OF OAXACA"	16.029	-95.901	1.57	9																10	1			24	1		4			8123	4
	2020	7	22	6	12	44	4	1	7.8			0	"USA"	"SHUMAGIN ISLANDS, AK"	55.03	-158.522	0.24	9																							1				
	2020	10	19	20	54	39	4	1	7.6			0	"USA"	"SHUMAGIN ISLANDS, AK"	54.608	-159.655	0.76	17																											
	2020	10	30	11	51	27	4	1	7			0	"TURKEY"	"AEGEAN SEA"	37.918	26.79	5.3	272				1	1				1		2				1	118	3			1054	4	400	4		2		4
	2020	11	14	15	0	0	4	8				0	"SPAIN"	"VALLE GRAN REY, LA GOMERA ISLAND"	28.08	-17.325	0.5	1																											
	2020	11	28				0	8				1	"CANADA"	"ELLIOT CREEK, BC"	50.97	-124.6		0																											
	2020	12	27	21	39	14	4	1	6.7			0	"CHILE"	"CENTRAL CHILE"	-39.343	-74.99	0.16	1																											
	2021	1	23	23	36	50	4	1	6.9			0	"ANTARCTICA"	"SCOTIA SEA"	-61.825	-55.494	0.04	2																											
	2021	2	10	13	19	55	4	1	7.7			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-23.054	171.601	0.78	20																											
	2021	2	13	14	7	50	4	1	7.1			0	"JAPAN"	"OFF FUKUSHIMA PREFECTURE"	37.745	141.749	0.1	4																1	1			186	3	7700	4	798	3	19758	4
	2021	3	4	13	27	36	4	1	7.3			0	"NEW ZEALAND"	"GISBORNE"	-37.563	179.444	0.28	9																											
	2021	3	4	17	41	25	4	1	7.4			0	"NEW ZEALAND"	"S OF RAOUL ISLAND, KERMADEC ISLANDS"	-29.613	-177.843	0.31	8																											
	2021	3	4	19	28	31	4	1	8.1			0	"NEW ZEALAND"	"S OF RAOUL ISLAND, KERMADEC ISLANDS"	-29.74	-177.267	1	84																											
	2021	3	18	0	4	6	4	1	6			0	"ALGERIA"	"N. ALGERIA"	36.915	5.199	0.06	4																				17	1		1				1
	2021	6	16	4	43	7	4	3	5.8			0	"INDONESIA"	"BANDA SEA"	-3.593	129.503	0.51	3																							1				1
	2021	7	29	6	15	47	4	1	8.2			0	"USA"	"KODIAK ISLAND, AK"	55.325	-157.841	0.42	40																											
	2021	8	11	17	46	14	4	1	7.1			0	"PHILIPPINES"	"MINDANAO ISLAND, PHILIPPINES"	6.455	126.742	0.05	2																1	1										
	2021	8	12	18	35	20	4	1	8.1			0	"UK TERRITORY"	"SOUTHERN ATLANTIC OCEAN"	-58.416	-25.321	0.64	52																											
	2021	8	14	12	29	8	4	1	7.2			0	"HAITI"	"PORT-AU-PRINCE"	18.408	-73.475		3																2248	4	329	3	12763	4	1600	4	53815	4	83770	4
	2021	9	8	1	47	47	4	1	7			0	"MEXICO"	"S. MEXICO"	16.982	-99.773	0.48	1																3	1				1	200	4			7317	4
	2021	10	12	9	24	3	2	1	6.4			0	"GREECE"	"CRETE"	35.193	26.256		0																							1				1
	2021	12	14	3	20	24	4	1	7.3			0	"INDONESIA"	"FLORES SEA"	-7.603	122.2	0.07	2																				1	1		2	41		200	3
	2022	1	13				4	6		7554		0	"TONGA"	"TONGA ISLANDS"	-20.536	-175.382	0.15	1																											
	2022	1	15	4	14	45	4	6		7551		0	"TONGA"	"TONGA ISLANDS"	-20.536	-175.382	15	545				6	1			20	1		4	284	3	182	3	6	1			20	1	107.768	4	284	3	182	3
	2022	1	16				4	6		7552		0	"TONGA"	"TONGA ISLANDS"	-20.536	-175.382	0.36	1																											
	2022	1	29	2	46	39	4	1	6.5			0	"NEW ZEALAND"	"KERMADEC ISLANDS"	-29.531	-176.749	0.1	1																											
	2022	3	16	14	36	33	4	1	7.3			0	"JAPAN"	"OFF FUKUSHIMA PREFECTURE"	37.702	141.587	0.3	5																4	1			107	3		2				
	2022	3	30	20	56	58	4	1	6.9			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-22.716	170.286	0.07	3																											
	2022	3	31	5	44	1	4	1	7			0	"NEW CALEDONIA"	"LOYALTY ISLANDS"	-22.579	170.354	0.05	1																											
	2022	5	25	21	43	2	3	1	5.5			0	"MEXICO"	"S. MEXICO"	16.325	-95.856	0.24	4																											
	2022	7	27	0	43	24	4	1	7			0	"PHILIPPINES"	"N. LUZON ISLAND"	17.56	120.801	0.08	1																11	1			609	3	48.48	4	856	3	35924	4
	2022	9	19	18	5	6	4	1	7.6			0	"MEXICO"	"MEXICO"	18.367	-103.252	0.79	14																2	1				1		4	800	3	6084	4
	2022	9	22	6	16	9	2	1	6.8			0	"MEXICO"	"S. MEXICO"	18.308	-102.923	0.09	3																2	1			3	1		2				
	2022	10	9	7	23		4	6		7557		0	"ITALY"	"STROMBOLI ISLAND"	38.789	15.213	0.04	2																											
	2022	11	11	10	48	45	4	1	7.3			0	"TONGA"	"TONGA ISLANDS"	-19.318	-172.1		4																											
