"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""2010 <= Year >= 2022""]"																																													
	2012	3	14	9	8	35.1	4	1	6.9			0	"JAPAN"	"HOKKAIDO ISLAND"	40.887	144.944	0.2	2																											
	2012	3	20	18	2	47.4	4	1	7.4			0	"MEXICO"	"S. MEXICO"	16.493	-98.231	0.2	2																2	1			13	1	600	4	800	3		
	2012	4	11	8	38	36.7	4	1	8.6			0	"INDONESIA"	"OFF W. COAST OF N SUMATRA"	2.327	93.063	1.08	25																10	1			12	1		1				2
	2012	4	11	10	43	10.8	4	1	8.2			0	"INDONESIA"	"OFF W. COAST OF N SUMATRA"	0.802	92.463		4																											
	2012	4	14	22	5	26.4	4	1	6.3			0	"VANUATU"	"VANUATU ISLANDS"	-18.972	168.741		1																											
	2012	7	15				4	8				0	"GREENLAND"	"ILULISSAT ICEFJORD, GREENLAND"	69.2	-51.3		0																											
	2012	8	27	4	37	19.4	4	1	7.3			0	"EL SALVADOR"	"EL SALVADOR-NICARAGUA"	12.139	-88.59	6.3	38								40	1		1									40	1		1				
	2012	8	31	12	47	33.3	4	1	7.6			0	"PHILIPPINES"	"PHILIPPINE ISLANDS"	10.811	126.638	0.15	17																1	1			1	1	0.3	1		1		
	2012	9	5	14	42	7.8	4	1	7.6			0	"COSTA RICA"	"COSTA RICA"	10.085	-85.315	0.16	4																2	1			20	1		1		2		
	2012	10	28	3	4	8.8	4	1	7.7			0	"CANADA"	"BRITISH COLUMBIA"	52.788	-132.101	12.98	178				1	1											1	1										
	2012	11	7	16	35	46.9	4	1	7.3			0	"GUATEMALA"	"GUATEMALA"	13.988	-91.895	0.35	7																48	2			155	3	210	4	2769	4	7561	4
